1,2,3,4,5,6,7,8,9,10,11,12
11.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4572405429440949,0.0
0.0,0.0,9.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,11.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.000000000000002,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999999999997,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.999999999999997,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999999999999997,0.0,0.0
0.0,1.4572405429440944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3500000000000014,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000001
